"date_value","dc_district","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2016-06-22,"39",0,0,1,0,0,0,0,0,0,0
2016-06-22,"49",0,0,0,0,0,0,0,0,0,0
2016-06-22,"71",0,0,0,0,0,0,0,0,0,0
2016-06-22,"77",0,0,0,0,0,0,0,0,0,0
2016-06-23,"01",0,0,0,0,0,0,0,0,0,0
2016-06-23,"02",3,0,0,0,0,0,0,0,0,0
2016-06-23,"03",1,0,0,0,0,0,0,0,0,0
2016-06-23,"05",1,0,0,0,0,0,0,0,0,0
2016-06-23,"06",0,0,2,0,0,1,5,2,4,0
2016-06-23,"07",0,0,0,0,0,0,0,0,0,0
2016-06-23,"08",0,0,0,0,0,0,0,0,0,0
2016-06-23,"09",2,0,2,0,0,1,0,0,0,0
2016-06-23,"12",0,0,0,0,0,0,0,0,0,0
2016-06-23,"14",1,0,0,0,0,0,0,0,0,0
2016-06-23,"15",1,0,0,0,0,0,0,0,0,0
2016-06-23,"16",0,0,0,0,0,0,0,0,0,1
2016-06-23,"17",0,0,0,0,0,0,0,0,0,0
2016-06-23,"18",0,0,0,0,0,0,0,0,0,0
2016-06-23,"19",0,0,0,0,0,0,0,0,0,1
2016-06-23,"22",1,0,1,0,0,0,0,0,0,0
